t,xi_err_norm,manipulability_w,damping_lambda
0.000000,0.00000000,0.00010982,0.04978059
0.005000,0.00000014,0.00010986,0.04978052
0.010000,0.00000040,0.00010990,0.04978045
0.015000,0.00000079,0.00010993,0.04978037
0.020000,0.00000134,0.00010997,0.04978030
0.025000,0.00000207,0.00011001,0.04978022
0.030000,0.00000301,0.00011005,0.04978014
0.035000,0.00000419,0.00011009,0.04978006
0.040000,0.00000564,0.00011014,0.04977997
0.045000,0.00000741,0.00011018,0.04977988
0.050000,0.00000952,0.00011023,0.04977978
0.055000,0.00001202,0.00011028,0.04977968
0.060000,0.00001494,0.00011034,0.04977956
0.065000,0.00001833,0.00011040,0.04977944
0.070000,0.00002222,0.00011047,0.04977931
0.075000,0.00002664,0.00011054,0.04977917
0.080000,0.00003163,0.00011061,0.04977902
0.085000,0.00003723,0.00011069,0.04977886
0.090000,0.00004347,0.00011078,0.04977868
0.095000,0.00005040,0.00011088,0.04977849
0.100000,0.00005803,0.00011098,0.04977828
0.105000,0.00006641,0.00011109,0.04977806
0.110000,0.00007557,0.00011121,0.04977782
0.115000,0.00008554,0.00011134,0.04977756
0.120000,0.00009636,0.00011148,0.04977729
0.125000,0.00010805,0.00011163,0.04977699
0.130000,0.00012065,0.00011179,0.04977667
0.135000,0.00013419,0.00011196,0.04977632
0.140000,0.00014870,0.00011215,0.04977595
0.145000,0.00016421,0.00011235,0.04977556
0.150000,0.00018075,0.00011256,0.04977514
0.155000,0.00019834,0.00011278,0.04977469
0.160000,0.00021702,0.00011302,0.04977421
0.165000,0.00023681,0.00011328,0.04977370
0.170000,0.00025774,0.00011355,0.04977315
0.175000,0.00027984,0.00011384,0.04977257
0.180000,0.00030314,0.00011415,0.04977195
0.185000,0.00032766,0.00011448,0.04977130
0.190000,0.00035342,0.00011483,0.04977060
0.195000,0.00038045,0.00011520,0.04976987
0.200000,0.00040878,0.00011559,0.04976909
0.205000,0.00043843,0.00011600,0.04976826
0.210000,0.00046942,0.00011644,0.04976739
0.215000,0.00050177,0.00011690,0.04976646
